Precinct,Contest Name,Candidate Name,Votes
"Toledo 1B","Secretary of State","Dustin R. Nanna","9"
"Toledo 1B","Secretary of State","Write-in","4"
"Toledo 1B","Secretary of State","Michael W. Bradley","0"
"Toledo 1B","Treasurer of State","Rob Richardson","166"
"Toledo 1B","Treasurer of State","Robert Sprague","101"
"Toledo 1B","U.S. Senator","Sherrod Brown","185"
"Toledo 1B","U.S. Senator","Jim Renacci","89"
"Toledo 1B","U.S. Senator","Write-in","2"
"Toledo 1B","U.S. Senator","Stephen Faris","0"
"Toledo 1B","U.S. Representative Dist 9","Marcy Kaptur","194"
"Toledo 1B","U.S. Representative Dist 9","Steven W. Kraus","83"
"Toledo 1B","U.S. Representative Dist 9","Write-in","2"
"Toledo 1B","U.S. Representative Dist 9","McKenzie Levindofske","0"
"Toledo 1B","Sup Crt Justice 1-1-19","Craig Baldwin","51"
"Toledo 1B","Sup Crt Justice 1-1-19","Michael P. Donnelly","182"
"Toledo 1B","Sup Crt Justice 1-2-19","Mary DeGenaro","75"
"Toledo 1B","Sup Crt Justice 1-2-19","Melody J. Stewart","137"
"Toledo 1B","Appeals Crt Judge 2-9-19","Joel M. Kuhlman","99"
"Toledo 1B","Appeals Crt Judge 2-9-19","Gene A. Zmuda","136"
"Toledo 1B","State Senator Dist 11","Teresa Fedor","183"
"Toledo 1B","State Senator Dist 11","Ernest McCarthy","88"
"Toledo 1B","State Representative Dist 45","David Davenport","94"
"Toledo 1B","State Representative Dist 45","Lisa Sobecki","172"
"Toledo 1B","Judge Comm Pleas GEN 1-1-19","Myron C. Duhart","174"
"Toledo 1B","Judge Comm Pleas GEN 1-2-19","Stacy L. Cook","193"
"Toledo 1B","Judge Comm Pleas DR 1-3-19","David Lewandowski","169"
"Toledo 1B","Judge Comm Pleas GEN 1-4-19","Joshua W. Lanzinger","71"
"Toledo 1B","Judge Comm Pleas GEN 1-4-19","Joe McNamara","164"
"Toledo 1B","Judge Comm Pleas Juvenile 1-5-19","Connie F. Zemmelman","181"
"Toledo 1B","Judge Comm Pleas GEN 1-6-19","Linda J. Jennings","157"
"Toledo 1B","Judge Comm Pleas GEN 1-7-19","Gary G. Cook","173"
"Toledo 1B","County Commissioner","Gary L. Byers","138"
"Toledo 1B","County Commissioner","Sandy Spang","64"
"Toledo 1B","County Auditor","Anita Lopez","212"
"Toledo 1B","County Treasurer UNEX","Lori Brodie","108"
"Toledo 1B","County Treasurer UNEX","Lindsay M. Webb","166"
"Toledo 1B","State Board of Education 2nd District","Jeanine P. Donaldson","40"
"Toledo 1B","State Board of Education 2nd District","Charles Froehlich","16"
"Toledo 1B","State Board of Education 2nd District","Kirsten Hill","33"
"Toledo 1B","State Board of Education 2nd District","W. Roger Knight","14"
"Toledo 1B","State Board of Education 2nd District","Sue Larimer","45"
"Toledo 1B","State Board of Education 2nd District","Vicki Donovan Lyle","15"
"Toledo 1B","State Board of Education 2nd District","Annette Dudek Shine","49"
"Toledo 1B","1. State Issue Proposed Const. Amendment","YES","130"
"Toledo 1B","1. State Issue Proposed Const. Amendment","NO","147"
"Toledo 1B","3. Washington LSD 4.9 mills Additional","FOR THE TAX LEVY","104"
"Toledo 1B","3. Washington LSD 4.9 mills Additional","AGAINST THE TAX LEVY","142"
"Toledo 1B","5. Toledo CSD 6.67 mills Renewal","FOR THE TAX LEVY","20"
"Toledo 1B","5. Toledo CSD 6.67 mills Renewal","AGAINST THE TAX LEVY","11"
"Toledo 1B","6. Toledo CSD Renewal 5.8 mills","FOR THE TAX LEVY","20"
"Toledo 1B","6. Toledo CSD Renewal 5.8 mills","AGAINST THE TAX LEVY","11"
"Toledo 1B","9. Lucas County Children Services 1.85 mills Renewal","FOR THE TAX LEVY","176"
"Toledo 1B","9. Lucas County Children Services 1.85 mills Renewal","AGAINST THE TAX LEVY","100"
"Toledo 1B","10. Lucas County Jail 1.37 mills Bond","FOR THE BOND ISSUE","71"
"Toledo 1B","10. Lucas County Jail 1.37 mills Bond","AGAINST THE BOND ISS","201"
"Toledo 1B","11. Lucas County Mental Health 1 mill Renewal","FOR THE TAX LEVY","186"
"Toledo 1B","11. Lucas County Mental Health 1 mill Renewal","AGAINST THE TAX LEVY","90"
"Toledo 1B","12. Port Authority .4 mill Renewal","FOR THE TAX LEVY","169"
"Toledo 1B","12. Port Authority .4 mill Renewal","AGAINST THE TAX LEVY","102"
"Toledo 1B","15. City of Toledo Regional Water Charter Amendment","YES","167"
"Toledo 1B","15. City of Toledo Regional Water Charter Amendment","NO","98"
"Toledo 1C","Governor / Lt. Governor","Cordray/Sutton","222"
"Toledo 1C","Governor / Lt. Governor","DeWine/Husted","173"
"Toledo 1C","Governor / Lt. Governor","Gadell-Newton/Joseph","3"
"Toledo 1C","Governor / Lt. Governor","Irvine/Grayson","8"
"Toledo 1C","Governor / Lt. Governor","Write-in","0"
"Toledo 1C","Governor / Lt. Governor","Ayres/Durgans","0"
"Toledo 1C","Governor / Lt. Governor","Duncan/Artino","0"
"Toledo 1C","Governor / Lt. Governor","Turner/Colton","0"
"Toledo 1C","Attorney General","Steve Dettelbach","215"
"Toledo 1C","Attorney General","Dave Yost","177"
"Toledo 1C","Auditor of State","Robert C. Coogan","22"
"Toledo 1C","Auditor of State","Keith Faber","165"
"Toledo 1C","Auditor of State","Zack Space","196"
"Toledo 1C","Secretary of State","Kathleen Clyde","203"
"Toledo 1C","Secretary of State","Frank LaRose","170"
"Toledo 1C","Secretary of State","Dustin R. Nanna","16"
"Toledo 1C","Secretary of State","Write-in","0"
"Toledo 1C","Secretary of State","Michael W. Bradley","0"
"Toledo 1C","Treasurer of State","Rob Richardson","194"
"Toledo 1C","Treasurer of State","Robert Sprague","195"
"Toledo 1C","U.S. Senator","Sherrod Brown","253"
"Toledo 1C","U.S. Senator","Jim Renacci","149"
"Toledo 1C","U.S. Senator","Write-in","0"
"Toledo 1C","U.S. Senator","Stephen Faris","0"
"Toledo 1C","U.S. Representative Dist 9","Marcy Kaptur","270"
"Toledo 1C","U.S. Representative Dist 9","Steven W. Kraus","134"
"Toledo 1C","U.S. Representative Dist 9","Write-in","0"
"Toledo 1C","U.S. Representative Dist 9","McKenzie Levindofske","1"
"Toledo 1C","Sup Crt Justice 1-1-19","Craig Baldwin","94"
"Toledo 1C","Sup Crt Justice 1-1-19","Michael P. Donnelly","224"
"Toledo 1C","Sup Crt Justice 1-2-19","Mary DeGenaro","150"
"Toledo 1C","Sup Crt Justice 1-2-19","Melody J. Stewart","145"
"Toledo 1C","Appeals Crt Judge 2-9-19","Joel M. Kuhlman","111"
"Toledo 1C","Appeals Crt Judge 2-9-19","Gene A. Zmuda","227"
"Toledo 1C","State Senator Dist 11","Teresa Fedor","237"
"Toledo 1C","State Senator Dist 11","Ernest McCarthy","156"
"Toledo 1C","State Representative Dist 45","David Davenport","160"
"Toledo 1C","State Representative Dist 45","Lisa Sobecki","227"
"Toledo 1C","Judge Comm Pleas GEN 1-1-19","Myron C. Duhart","251"
"Toledo 1C","Judge Comm Pleas GEN 1-2-19","Stacy L. Cook","271"
"Toledo 1C","Judge Comm Pleas DR 1-3-19","David Lewandowski","268"
"Toledo 1C","Judge Comm Pleas GEN 1-4-19","Joshua W. Lanzinger","132"
"Toledo 1C","Judge Comm Pleas GEN 1-4-19","Joe McNamara","206"
"Toledo 1C","Judge Comm Pleas Juvenile 1-5-19","Connie F. Zemmelman","259"
"Toledo 1C","Judge Comm Pleas GEN 1-6-19","Linda J. Jennings","265"
"Toledo 1C","Judge Comm Pleas GEN 1-7-19","Gary G. Cook","259"
"Toledo 1C","County Commissioner","Gary L. Byers","142"
"Toledo 1C","County Commissioner","Sandy Spang","143"
"Toledo 1C","County Auditor","Anita Lopez","308"
"Toledo 1C","County Treasurer UNEX","Lori Brodie","178"
"Toledo 1C","County Treasurer UNEX","Lindsay M. Webb","217"
"Toledo 1C","State Board of Education 2nd District","Jeanine P. Donaldson","34"
"Toledo 1C","State Board of Education 2nd District","Charles Froehlich","34"
"Toledo 1C","State Board of Education 2nd District","Kirsten Hill","49"
"Toledo 1C","State Board of Education 2nd District","W. Roger Knight","23"
"Toledo 1C","State Board of Education 2nd District","Sue Larimer","42"
"Toledo 1C","State Board of Education 2nd District","Vicki Donovan Lyle","30"
"Toledo 1C","State Board of Education 2nd District","Annette Dudek Shine","47"
"Toledo 1C","1. State Issue Proposed Const. Amendment","YES","168"
"Toledo 1C","1. State Issue Proposed Const. Amendment","NO","233"
"Toledo 1C","5. Toledo CSD 6.67 mills Renewal","FOR THE TAX LEVY","198"
"Toledo 1C","5. Toledo CSD 6.67 mills Renewal","AGAINST THE TAX LEVY","195"
"Toledo 1C","6. Toledo CSD Renewal 5.8 mills","FOR THE TAX LEVY","216"
"Toledo 1C","6. Toledo CSD Renewal 5.8 mills","AGAINST THE TAX LEVY","179"
"Toledo 1C","9. Lucas County Children Services 1.85 mills Renewal","FOR THE TAX LEVY","244"
"Toledo 1C","9. Lucas County Children Services 1.85 mills Renewal","AGAINST THE TAX LEVY","150"
"Toledo 1C","10. Lucas County Jail 1.37 mills Bond","FOR THE BOND ISSUE","98"
"Toledo 1C","10. Lucas County Jail 1.37 mills Bond","AGAINST THE BOND ISS","298"
"Toledo 1C","11. Lucas County Mental Health 1 mill Renewal","FOR THE TAX LEVY","255"
"Toledo 1C","11. Lucas County Mental Health 1 mill Renewal","AGAINST THE TAX LEVY","138"
"Toledo 1C","12. Port Authority .4 mill Renewal","FOR THE TAX LEVY","228"
"Toledo 1C","12. Port Authority .4 mill Renewal","AGAINST THE TAX LEVY","159"
"Toledo 1C","15. City of Toledo Regional Water Charter Amendment","YES","240"
"Toledo 1C","15. City of Toledo Regional Water Charter Amendment","NO","143"
"Toledo 1D","Governor / Lt. Governor","Cordray/Sutton","383"
"Toledo 1D","Governor / Lt. Governor","DeWine/Husted","327"
"Toledo 1D","Governor / Lt. Governor","Gadell-Newton/Joseph","9"
"Toledo 1D","Governor / Lt. Governor","Irvine/Grayson","18"
"Toledo 1D","Governor / Lt. Governor","Write-in","1"
"Toledo 1D","Governor / Lt. Governor","Ayres/Durgans","0"
"Toledo 1D","Governor / Lt. Governor","Duncan/Artino","0"
"Toledo 1D","Governor / Lt. Governor","Turner/Colton","0"
"Toledo 1D","Attorney General","Steve Dettelbach","383"
"Toledo 1D","Attorney General","Dave Yost","332"
"Toledo 1D","Auditor of State","Robert C. Coogan","42"
"Toledo 1D","Auditor of State","Keith Faber","306"
"Toledo 1D","Auditor of State","Zack Space","357"
"Toledo 1D","Secretary of State","Kathleen Clyde","373"
"Toledo 1D","Secretary of State","Frank LaRose","314"
"Toledo 1D","Secretary of State","Dustin R. Nanna","22"
"Toledo 1D","Secretary of State","Write-in","0"
"Toledo 1D","Secretary of State","Michael W. Bradley","0"
"Toledo 1D","Treasurer of State","Rob Richardson","363"
"Toledo 1D","Treasurer of State","Robert Sprague","338"
"Toledo 1D","U.S. Senator","Sherrod Brown","444"
"Toledo 1D","U.S. Senator","Jim Renacci","283"
"Toledo 1D","U.S. Senator","Write-in","1"
"Toledo 1D","U.S. Senator","Stephen Faris","0"
"Toledo 1D","U.S. Representative Dist 9","Marcy Kaptur","462"
"Toledo 1D","U.S. Representative Dist 9","Steven W. Kraus","282"
"Toledo 1D","U.S. Representative Dist 9","Write-in","1"
"Toledo 1D","U.S. Representative Dist 9","McKenzie Levindofske","0"
"Toledo 1D","Sup Crt Justice 1-1-19","Craig Baldwin","141"
"Toledo 1D","Sup Crt Justice 1-1-19","Michael P. Donnelly","425"
"Toledo 1D","Sup Crt Justice 1-2-19","Mary DeGenaro","234"
"Toledo 1D","Sup Crt Justice 1-2-19","Melody J. Stewart","312"
"Toledo 1D","Appeals Crt Judge 2-9-19","Joel M. Kuhlman","190"
"Toledo 1D","Appeals Crt Judge 2-9-19","Gene A. Zmuda","421"
"Toledo 1D","State Senator Dist 11","Teresa Fedor","410"
"Toledo 1D","State Senator Dist 11","Ernest McCarthy","294"
"Toledo 1D","State Representative Dist 45","David Davenport","301"
"Toledo 1D","State Representative Dist 45","Lisa Sobecki","406"
"Toledo 1D","Judge Comm Pleas GEN 1-1-19","Myron C. Duhart","431"
"Toledo 1D","Judge Comm Pleas GEN 1-2-19","Stacy L. Cook","473"
"Toledo 1D","Judge Comm Pleas DR 1-3-19","David Lewandowski","467"
"Toledo 1D","Judge Comm Pleas GEN 1-4-19","Joshua W. Lanzinger","223"
"Toledo 1D","Judge Comm Pleas GEN 1-4-19","Joe McNamara","394"
"Toledo 1D","Judge Comm Pleas Juvenile 1-5-19","Connie F. Zemmelman","438"
"Toledo 1D","Judge Comm Pleas GEN 1-6-19","Linda J. Jennings","453"
"Toledo 1D","Judge Comm Pleas GEN 1-7-19","Gary G. Cook","462"
"Toledo 1D","County Commissioner","Gary L. Byers","282"
"Toledo 1D","County Commissioner","Sandy Spang","237"
"Toledo 1D","County Auditor","Anita Lopez","498"
"Toledo 1D","County Treasurer UNEX","Lori Brodie","361"
"Toledo 1D","County Treasurer UNEX","Lindsay M. Webb","365"
"Toledo 1D","State Board of Education 2nd District","Jeanine P. Donaldson","51"
"Toledo 1D","State Board of Education 2nd District","Charles Froehlich","39"
"Toledo 1D","State Board of Education 2nd District","Kirsten Hill","88"
"Toledo 1D","State Board of Education 2nd District","W. Roger Knight","47"
"Toledo 1D","State Board of Education 2nd District","Sue Larimer","100"
"Toledo 1D","State Board of Education 2nd District","Vicki Donovan Lyle","53"
"Toledo 1D","State Board of Education 2nd District","Annette Dudek Shine","92"
"Toledo 1D","1. State Issue Proposed Const. Amendment","YES","268"
"Toledo 1D","1. State Issue Proposed Const. Amendment","NO","475"
"Toledo 1D","3. Washington LSD 4.9 mills Additional","FOR THE TAX LEVY","310"
"Toledo 1D","3. Washington LSD 4.9 mills Additional","AGAINST THE TAX LEVY","431"
"Toledo 1D","9. Lucas County Children Services 1.85 mills Renewal","FOR THE TAX LEVY","424"
"Toledo 1D","9. Lucas County Children Services 1.85 mills Renewal","AGAINST THE TAX LEVY","304"
"Toledo 1D","10. Lucas County Jail 1.37 mills Bond","FOR THE BOND ISSUE","121"
"Toledo 1D","10. Lucas County Jail 1.37 mills Bond","AGAINST THE BOND ISS","614"
"Toledo 1D","11. Lucas County Mental Health 1 mill Renewal","FOR THE TAX LEVY","441"
"Toledo 1D","11. Lucas County Mental Health 1 mill Renewal","AGAINST THE TAX LEVY","295"
"Toledo 1D","12. Port Authority .4 mill Renewal","FOR THE TAX LEVY","393"
"Toledo 1D","12. Port Authority .4 mill Renewal","AGAINST THE TAX LEVY","323"
"Toledo 1D","15. City of Toledo Regional Water Charter Amendment","YES","395"
"Toledo 1D","15. City of Toledo Regional Water Charter Amendment","NO","312"
"Toledo 1E","Governor / Lt. Governor","Cordray/Sutton","164"
"Toledo 1E","Governor / Lt. Governor","DeWine/Husted","66"
"Toledo 1E","Governor / Lt. Governor","Gadell-Newton/Joseph","4"
"Toledo 1E","Governor / Lt. Governor","Irvine/Grayson","1"
"Toledo 1E","Governor / Lt. Governor","Write-in","0"
"Toledo 1E","Governor / Lt. Governor","Ayres/Durgans","0"
"Toledo 1E","Governor / Lt. Governor","Duncan/Artino","0"
"Toledo 1E","Governor / Lt. Governor","Turner/Colton","0"
"Toledo 1E","Attorney General","Steve Dettelbach","170"
"Toledo 1E","Attorney General","Dave Yost","57"
"Toledo 1E","Auditor of State","Robert C. Coogan","8"
"Toledo 1E","Auditor of State","Keith Faber","71"
"Toledo 1E","Auditor of State","Zack Space","149"
"Toledo 1E","Secretary of State","Kathleen Clyde","160"
"Toledo 1E","Secretary of State","Frank LaRose","61"
"Toledo 1E","Secretary of State","Dustin R. Nanna","6"
"Toledo 1E","Secretary of State","Write-in","0"
"Toledo 1E","Secretary of State","Michael W. Bradley","0"
"Toledo 1E","Treasurer of State","Rob Richardson","159"
"Toledo 1E","Treasurer of State","Robert Sprague","69"
"Toledo 1E","U.S. Senator","Sherrod Brown","180"
"Toledo 1E","U.S. Senator","Jim Renacci","53"
"Toledo 1E","U.S. Senator","Write-in","0"
"Toledo 1E","U.S. Senator","Stephen Faris","0"
"Toledo 1E","U.S. Representative Dist 9","Marcy Kaptur","187"
"Toledo 1E","U.S. Representative Dist 9","Steven W. Kraus","50"
"Toledo 1E","U.S. Representative Dist 9","Write-in","0"
"Toledo 1E","U.S. Representative Dist 9","McKenzie Levindofske","0"
"Toledo 1E","Sup Crt Justice 1-1-19","Craig Baldwin","53"
"Toledo 1E","Sup Crt Justice 1-1-19","Michael P. Donnelly","154"
"Toledo 1E","Sup Crt Justice 1-2-19","Mary DeGenaro","94"
"Toledo 1E","Sup Crt Justice 1-2-19","Melody J. Stewart","114"
"Toledo 1E","Appeals Crt Judge 2-9-19","Joel M. Kuhlman","84"
"Toledo 1E","Appeals Crt Judge 2-9-19","Gene A. Zmuda","131"
"Toledo 1E","State Senator Dist 11","Teresa Fedor","173"
"Toledo 1E","State Senator Dist 11","Ernest McCarthy","57"
"Toledo 1E","State Representative Dist 45","David Davenport","65"
"Toledo 1E","State Representative Dist 45","Lisa Sobecki","166"
"Toledo 1E","Judge Comm Pleas GEN 1-1-19","Myron C. Duhart","173"
"Toledo 1E","Judge Comm Pleas GEN 1-2-19","Stacy L. Cook","175"
"Toledo 1E","Judge Comm Pleas DR 1-3-19","David Lewandowski","169"
"Toledo 1E","Judge Comm Pleas GEN 1-4-19","Joshua W. Lanzinger","70"
"Toledo 1E","Judge Comm Pleas GEN 1-4-19","Joe McNamara","138"
"Toledo 1E","Judge Comm Pleas Juvenile 1-5-19","Connie F. Zemmelman","165"
"Toledo 1E","Judge Comm Pleas GEN 1-6-19","Linda J. Jennings","164"
"Toledo 1E","Judge Comm Pleas GEN 1-7-19","Gary G. Cook","165"
"Toledo 1E","County Commissioner","Gary L. Byers","132"
"Toledo 1E","County Commissioner","Sandy Spang","50"
"Toledo 1E","County Auditor","Anita Lopez","199"
"Toledo 1E","County Treasurer UNEX","Lori Brodie","69"
"Toledo 1E","County Treasurer UNEX","Lindsay M. Webb","163"
"Toledo 1E","State Board of Education 2nd District","Jeanine P. Donaldson","21"
"Toledo 1E","State Board of Education 2nd District","Charles Froehlich","15"
"Toledo 1E","State Board of Education 2nd District","Kirsten Hill","38"
"Toledo 1E","State Board of Education 2nd District","W. Roger Knight","25"
"Toledo 1E","State Board of Education 2nd District","Sue Larimer","34"
"Toledo 1E","State Board of Education 2nd District","Vicki Donovan Lyle","22"
"Toledo 1E","State Board of Education 2nd District","Annette Dudek Shine","28"
"Toledo 1E","1. State Issue Proposed Const. Amendment","YES","119"
"Toledo 1E","1. State Issue Proposed Const. Amendment","NO","111"
"Toledo 1E","5. Toledo CSD 6.67 mills Renewal","FOR THE TAX LEVY","152"
"Toledo 1E","5. Toledo CSD 6.67 mills Renewal","AGAINST THE TAX LEVY","80"
"Toledo 1E","6. Toledo CSD Renewal 5.8 mills","FOR THE TAX LEVY","157"
"Toledo 1E","6. Toledo CSD Renewal 5.8 mills","AGAINST THE TAX LEVY","74"
"Toledo 1E","9. Lucas County Children Services 1.85 mills Renewal","FOR THE TAX LEVY","164"
"Toledo 1E","9. Lucas County Children Services 1.85 mills Renewal","AGAINST THE TAX LEVY","65"
"Toledo 1E","10. Lucas County Jail 1.37 mills Bond","FOR THE BOND ISSUE","89"
"Toledo 1E","10. Lucas County Jail 1.37 mills Bond","AGAINST THE BOND ISS","144"
"Toledo 1E","11. Lucas County Mental Health 1 mill Renewal","FOR THE TAX LEVY","168"
"Toledo 1E","11. Lucas County Mental Health 1 mill Renewal","AGAINST THE TAX LEVY","63"
"Toledo 1E","12. Port Authority .4 mill Renewal","FOR THE TAX LEVY","148"
"Toledo 1E","12. Port Authority .4 mill Renewal","AGAINST THE TAX LEVY","80"
"Toledo 1E","15. City of Toledo Regional Water Charter Amendment","YES","143"
"Toledo 1E","15. City of Toledo Regional Water Charter Amendment","NO","81"
"Toledo 1F","Governor / Lt. Governor","Cordray/Sutton","259"
"Toledo 1F","Governor / Lt. Governor","DeWine/Husted","243"
"Toledo 1F","Governor / Lt. Governor","Gadell-Newton/Joseph","8"
"Toledo 1F","Governor / Lt. Governor","Irvine/Grayson","11"
"Toledo 1F","Governor / Lt. Governor","Write-in","0"
"Toledo 1F","Governor / Lt. Governor","Ayres/Durgans","0"
"Toledo 1F","Governor / Lt. Governor","Duncan/Artino","0"
"Toledo 1F","Governor / Lt. Governor","Turner/Colton","0"
"Toledo 1F","Attorney General","Steve Dettelbach","263"
"Toledo 1F","Attorney General","Dave Yost","243"
"Toledo 1F","Auditor of State","Robert C. Coogan","23"
"Toledo 1F","Auditor of State","Keith Faber","234"
"Toledo 1F","Auditor of State","Zack Space","244"
"Toledo 1F","Secretary of State","Kathleen Clyde","260"
"Toledo 1F","Secretary of State","Frank LaRose","232"
"Toledo 1F","Secretary of State","Dustin R. Nanna","13"
"Toledo 1F","Secretary of State","Write-in","0"
"Toledo 1F","Secretary of State","Michael W. Bradley","0"
"Toledo 1F","Treasurer of State","Rob Richardson","243"
"Toledo 1F","Treasurer of State","Robert Sprague","258"
"Toledo 1F","U.S. Senator","Sherrod Brown","311"
"Toledo 1F","U.S. Senator","Jim Renacci","210"
"Toledo 1F","U.S. Senator","Write-in","0"
"Toledo 1F","U.S. Senator","Stephen Faris","0"
"Toledo 1F","U.S. Representative Dist 9","Marcy Kaptur","317"
"Toledo 1F","U.S. Representative Dist 9","Steven W. Kraus","202"
"Toledo 1F","U.S. Representative Dist 9","Write-in","0"
"Toledo 1F","U.S. Representative Dist 9","McKenzie Levindofske","1"
